REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_PACKAGE,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
AHL03003003,"TP_TP_BOM ONLY-NA,TP12_BOM",,,TP30,13852.9,9932.6,0,NO
AKE3FG-0Z00,"TP_TP_BOM ONLY-NA,TP12_BOM",,,TP30,14210.21,9936.86,0,NO
AKE3JZN0N02,"TP_TP_BOM ONLY-NA,TP12_BOM",,,TP30,14779.69,9799.86,0,NO
BT1,CONN3_AAABAT043P03-CONN3_AAA-BA,,,BATTERY_AAA-BAT-043-P03,82.63,8470.46,180,NO
C1L1,"Q_CAP_0402-100PF,50V,5%,EMPTY,B",NA,5%,C0402,8626.3,11681.42,0,NO
C1L2,"Q_CAP_0402-10PF,50V,5%,COG,CH0A",10PF,5%,C0402,8529.4,11608.18,270,NO
C1L3,"Q_CAP_0402-10PF,50V,5%,COG,CH0A",10PF,5%,C0402,8357.3,11694.8,180,NO
C1L4,"Q_CAP_0402-100PF,50V,5%,EMPTY,B",NA,5%,C0402,8631.3,11721.42,0,NO
C9A1,"Q_CAP_0603-0.1UF,25V,10%,EMPTYA",NA,10%,C0603,9350,11920,180,NO
C9A2,"Q_CAP_C0402-33PF,50V,1%,C0G,CHA",33PF,1%,C0402,8115.6,11593.8,180,NO
C9A3,"Q_CAP_C0402-33PF,50V,1%,C0G,CHA",33PF,1%,C0402,8190.6,11593.8,0,NO
C9A4,"Q_CAP_C0402-33PF,50V,1%,C0G,CHA",33PF,1%,C0402,8260.8,11554.2,0,NO
C9A5,"Q_CAP_0603-1UF,16V,10%,EMPTY,TA",NA,10%,C0603,9155,11770,180,NO
C9A7,"Q_CAP_0402-10PF,50V,1%,NPO,TMPA",10PF,1%,C0402,8105.6,11387.9,270,NO
C9A8,"Q_CAP_0402-10PF,50V,1%,NPO,TMPA",10PF,1%,C0402,8165.6,11387.9,270,NO
C9A9,"Q_CAP_0402-10PF,50V,1%,NPO,TMPA",10PF,1%,C0402,8225.6,11387.9,270,NO
C2,"Q_CAP_0402-0.1UF,25V,10%,X7R,CA",0.1UF,10%,C0402,6186.27,9547.35,90,YES
C3,"Q_CAP_0402-0.1UF,25V,10%,X7R,CA",0.1UF,10%,C0402,6198,9705,270,YES
C4,"Q_CAPP_RDLF-560UF,6.3V,20%,ALUA",560UF,20%,EC98_248_354XA,4421.5,11237.3,0,NO
C5,"Q_CAP_0402-0.1UF,25V,10%,X7R,CA",0.1UF,10%,C0402,8326.1,11379.3,270,NO
C6,"Q_CAP_0402-0.1UF,25V,10%,X7R,CA",0.1UF,10%,C0402,8366.1,11379.3,270,NO
C8,"Q_CAP_0402-100PF,50V,5%,EMPTY,A",NA,5%,C0402,5778.75,9449.13,0,YES
C9,"Q_CAP_0603-4.7UF,6.3V,10%,X6S,A",4.7UF,10%,C0603,4650.33,10697.54,0,YES
C10,"Q_CAP_0402-100PF,50V,5%,EMPTY,A",NA,5%,C0402,4637.35,174.69,180,NO
C11,"Q_CAP_0402-0.1UF,25V,10%,X7R,CA",0.1UF,10%,C0402,8207.25,1677.81,180,YES
C12,"Q_CAP_0402-0.1UF,25V,10%,X7R,CA",0.1UF,10%,C0402,5496.36,10811.47,180,NO
C13,"Q_CAP_0402-0.1UF,25V,10%,X7R,CA",0.1UF,10%,C0402,8207.25,1642.81,180,YES
C14,"Q_CAP_C0402-1UF,25V,10%,X6S,CHA",1UF,10%,C0402,8641.06,810.83,0,NO
C15,"Q_CAP_0402-100PF,50V,5%,EMPTY,A",NA,5%,C0402,5813.22,9529.47,180,NO
C16,"Q_CAP_0402-0.1UF,25V,10%,X7R,CA",0.1UF,10%,C0402,8390.14,1726.05,270,YES
C17,"Q_CAP_0402-0.1UF,25V,10%,X7R,CA",0.1UF,10%,C0402,8355.14,1726.05,270,YES
C18,"Q_CAP_0402-470PF,50V,10%,X7R,TA",470PF,10%,C0402,3835.08,10529,180,YES
C20,"Q_CAP_0402-100PF,50V,5%,EMPTY,A",NA,5%,C0402,5788.74,9449.08,180,NO
C22,"Q_CAP_0402-100PF,50V,5%,EMPTY,A",NA,5%,C0402,5681.47,9635.76,270,NO
C24,Q_CAP_DIFFBUS_C0402-DIFF BUS_0A,,,C0402_DIFF-BUS,12066.32,2866.8,180,NO
C25,"Q_CAP_C0805-22UF,10V,20%,X6S,CA",22UF,20%,C0805_H61,3836.17,10470.63,180,YES
C26,"Q_CAP_0402-0.1UF,25V,10%,X7R,CA",0.1UF,10%,C0402,8098.2,1836.28,180,YES
C27,"Q_CAP_0402-0.1UF,25V,10%,X7R,CA",0.1UF,10%,C0402,8098.2,1801.28,180,YES
C28,"Q_CAP_0402-0.1UF,25V,10%,X7R,CA",0.1UF,10%,C0402,8236.45,1776.74,180,YES
C29,"Q_CAP_0402-0.1UF,25V,10%,X7R,CA",0.1UF,10%,C0402,8236.45,1811.74,180,YES
C31,"Q_CAP_0402-100PF,50V,5%,EMPTY,A",NA,5%,C0402,5682.57,9542.87,270,YES
C32,"Q_CAP_0402-0.1UF,25V,10%,X7R,CA",0.1UF,10%,C0402,5126.73,8144.64,0,NO
C34,Q_CAP_DIFFBUS_C0402-DIFF BUS_0A,,,C0402_DIFF-BUS,12066.32,2952.2,180,NO
C35,"Q_CAP_C0402-2PF,50V,0.05PF,C0GA",2PF,0.05PF,C0402,4254.63,6585.24,180,NO
C36,"Q_CAP_0402-0.1UF,25V,10%,X7R,CA",0.1UF,10%,C0402,6082.3,7510.69,90,NO
C44,"Q_CAP_1206-10UF,25V,10%,X7R,TMA",10UF,10%,C1206_H76,10763.9,3903.6,180,YES
C45,"Q_CAP_C0603-22UF,6.3V,20%,X6S,A",22UF,20%,C0603,10730.6,3766.8,180,YES
C49,"Q_CAP_0402-0.1UF,25V,10%,X7R,CA",0.1UF,10%,C0402,10708.8,3840,180,YES
C50,"Q_CAP_0402-0.1UF,25V,10%,X7R,CA",0.1UF,10%,C0402,10710.6,3712.9,180,YES
C53,"Q_CAP_0402-0.1UF,25V,10%,X7R,CA",0.1UF,10%,C0402,4544.72,8050.23,0,YES
C54,"Q_CAP_0402-0.1UF,25V,10%,X7R,CA",0.1UF,10%,C0402,4716.96,8011.36,0,YES
C55,"Q_CAP_0402-47PF,50V,5%,NPO,TMPA",47PF,5%,C0402,1972.77,7270.14,270,YES
C56,"Q_CAP_C0402-1UF,25V,10%,X6S,CHA",1UF,10%,C0402,10859.94,3643.27,90,YES
C59,"Q_CAP_C0402-2PF,50V,0.05PF,C0GA",2PF,0.05PF,C0402,4254.63,6765.24,180,NO
C63,Q_CAP_DIFFBUS_C0402-DIFF BUS_0A,,,C0402_DIFF-BUS,10096.92,4185.24,270,NO
C65,Q_CAP_DIFFBUS_C0402-DIFF BUS_0A,,,C0402_DIFF-BUS,10056.92,4185.24,270,NO
C71,"Q_CAP_C0402-1UF,25V,10%,X6S,CHA",1UF,10%,C0402,8762.16,942.93,0,NO
